scan_id,ticket_id,order_id,event_id,gate,scanned_at
SCN-8-00001,ORD-00441-T1,ORD-00441,EV-08,MAIN-1,2025-07-08 19:00:00
SCN-8-00002,ORD-00543-T1,ORD-00543,EV-08,MAIN-2,2025-07-08 19:00:00
SCN-8-00003,ORD-00600-T1,ORD-00600,EV-08,MAIN-1,2025-07-08 19:00:00
SCN-8-00004,ORD-00623-T6,ORD-00623,EV-08,MAIN-2,2025-07-08 19:00:00
SCN-8-00005,ORD-00707-T1,ORD-00707,EV-08,MAIN-2,2025-07-08 19:00:00
SCN-8-00006,ORD-01240-T4,ORD-01240,EV-08,MAIN-1,2025-07-08 19:00:00
SCN-8-00007,ORD-01508-T1,ORD-01508,EV-08,MAIN-2,2025-07-08 19:00:00
SCN-8-00008,ORD-01740-T1,ORD-01740,EV-08,MAIN-1,2025-07-08 19:00:00
SCN-8-00009,ORD-01763-T4,ORD-01763,EV-08,MAIN-1,2025-07-08 19:00:00
SCN-8-00010,ORD-02258-T2,ORD-02258,EV-08,SIDE-A,2025-07-08 19:00:00
SCN-8-00011,ORD-02308-T1,ORD-02308,EV-08,MAIN-1,2025-07-08 19:00:00
SCN-8-00012,ORD-03072-T2,ORD-03072,EV-08,MAIN-1,2025-07-08 19:00:00
SCN-8-00013,ORD-03213-T3,ORD-03213,EV-08,MAIN-2,2025-07-08 19:00:00
SCN-8-00014,ORD-03329-T1,ORD-03329,EV-08,SIDE-A,2025-07-08 19:00:00
SCN-8-00015,ORD-03427-T1,ORD-03427,EV-08,MAIN-2,2025-07-08 19:00:00
SCN-8-00016,ORD-03507-T2,ORD-03507,EV-08,MAIN-2,2025-07-08 19:00:00
SCN-8-00017,ORD-03521-T1,ORD-03521,EV-08,MAIN-2,2025-07-08 19:00:00
SCN-8-00018,ORD-03550-T3,ORD-03550,EV-08,MAIN-1,2025-07-08 19:00:00
SCN-8-00019,ORD-03607-T2,ORD-03607,EV-08,MAIN-2,2025-07-08 19:00:00
SCN-8-00020,ORD-00979-T1,ORD-00979,EV-08,MAIN-2,2025-07-08 19:00:21
SCN-8-00021,ORD-02655-T1,ORD-02655,EV-08,MAIN-2,2025-07-08 19:00:53
SCN-8-00022,ORD-03392-T2,ORD-03392,EV-08,MAIN-1,2025-07-08 19:01:19
SCN-8-00023,ORD-01931-T1,ORD-01931,EV-08,MAIN-2,2025-07-08 19:01:33
SCN-8-00024,ORD-00283-T1,ORD-00283,EV-08,MAIN-1,2025-07-08 19:01:36
SCN-8-00025,ORD-01677-T1,ORD-01677,EV-08,MAIN-1,2025-07-08 19:01:40
SCN-8-00026,ORD-01026-T2,ORD-01026,EV-08,MAIN-2,2025-07-08 19:03:23
SCN-8-00027,ORD-02053-T2,ORD-02053,EV-08,MAIN-1,2025-07-08 19:03:24
SCN-8-00028,ORD-00155-T2,ORD-00155,EV-08,MAIN-1,2025-07-08 19:03:26
