order_id,event_id,ordered_at,tier,qty,unit_price_usd,promo_code,status
ORD-00001,EV-02,2025-06-20 00:01:29,GA,2,32.00,,completed
ORD-00002,EV-02,2025-06-20 00:05:18,GA,2,32.00,ONAIR10,completed
ORD-00003,EV-01,2025-06-20 00:28:44,Balcony,1,52.00,,refunded
ORD-00004,EV-08,2025-06-20 00:33:48,GA,4,45.00,,completed
ORD-00005,EV-01,2025-06-20 01:25:21,GA,2,36.00,FINDUS,completed
ORD-00006,EV-02,2025-06-20 01:32:25,GA,6,32.00,,completed
ORD-00007,EV-03,2025-06-20 02:04:00,Balcony,6,44.00,,completed
ORD-00008,EV-01,2025-06-20 02:39:36,Balcony,2,52.00,,completed
ORD-00009,EV-03,2025-06-20 02:51:33,Balcony,2,44.00,ONAIR10,completed
ORD-00010,EV-07,2025-06-20 03:41:25,VIP,2,72.00,,completed
ORD-00011,EV-05,2025-06-20 03:53:11,GA,3,42.00,SUMMER25,completed
ORD-00012,EV-08,2025-06-20 03:58:07,GA,1,45.00,,completed
ORD-00013,EV-07,2025-06-20 04:50:02,GA,1,34.00,ONAIR10,completed
ORD-00014,EV-04,2025-06-20 05:12:05,GA,1,40.00,ONAIR10,completed
ORD-00015,EV-06,2025-06-20 05:51:05,Balcony,2,50.00,ONAIR10,completed
ORD-00016,EV-01,2025-06-20 06:19:29,GA,2,36.00,SUMMER25,completed
ORD-00017,EV-05,2025-06-20 07:03:54,GA,1,42.00,,completed
ORD-00018,EV-02,2025-06-20 07:15:41,GA,2,32.00,,completed
ORD-00019,EV-05,2025-06-20 07:24:11,GA,1,42.00,,completed
ORD-00020,EV-01,2025-06-20 07:38:27,Balcony,1,52.00,,completed
ORD-00021,EV-05,2025-06-20 08:01:00,GA,2,42.00,,completed
ORD-00022,EV-01,2025-06-20 08:06:51,Balcony,1,52.00,,completed
ORD-00023,EV-03,2025-06-20 08:12:21,GA,1,30.00,ONAIR10,completed
ORD-00024,EV-06,2025-06-20 08:15:42,GA,1,38.00,ONAIR10,completed
ORD-00025,EV-02,2025-06-20 08:23:45,Balcony,1,46.00,,completed
ORD-00026,EV-01,2025-06-20 08:24:55,GA,1,36.00,,completed
ORD-00027,EV-01,2025-06-20 08:28:49,GA,1,36.00,,completed
ORD-00028,EV-03,2025-06-20 08:34:11,GA,4,30.00,,completed
ORD-00029,EV-02,2025-06-20 08:38:14,VIP,2,75.00,,refunded
ORD-00030,EV-07,2025-06-20 08:45:56,GA,2,34.00,,completed
ORD-00031,EV-08,2025-06-20 08:47:15,Balcony,2,62.00,ONAIR10,completed
ORD-00032,EV-01,2025-06-20 08:50:25,GA,1,36.00,FINDUS,completed
ORD-00033,EV-07,2025-06-20 09:01:41,VIP,1,72.00,ONAIR10,completed
ORD-00034,EV-02,2025-06-20 09:19:04,Balcony,3,46.00,,completed
ORD-00035,EV-05,2025-06-20 09:25:36,GA,2,42.00,,completed
ORD-00036,EV-08,2025-06-20 09:31:53,Balcony,2,62.00,,refunded
ORD-00037,EV-01,2025-06-20 09:33:13,Balcony,1,52.00,,completed
ORD-00038,EV-06,2025-06-20 09:48:39,GA,2,38.00, VIPNIGHT,completed
ORD-00039,EV-03,2025-06-20 09:49:03,VIP,3,70.00,,completed
ORD-00040,EV-02,2025-06-20 09:50:17,Balcony,1,46.00,,completed
ORD-00041,EV-06,2025-06-20 09:50:47,GA,1,38.00,,completed
ORD-00042,EV-06,2025-06-20 09:52:49,GA,2,38.00,FINDUS,completed
ORD-00043,EV-01,2025-06-20 09:54:50,VIP,2,85.00,ONAIR10,completed
ORD-00044,EV-07,2025-06-20 09:55:12,GA,2,34.00,,completed
ORD-00045,EV-02,2025-06-20 10:04:59,VIP,2,75.00,,completed
ORD-00046,EV-06,2025-06-20 10:06:27,Balcony,1,50.00,,completed
ORD-00047,EV-06,2025-06-20 10:15:10,GA,1,38.00,,completed
ORD-00048,EV-03,2025-06-20 10:16:02,GA,3,30.00,,completed
ORD-00049,EV-08,2025-06-20 10:20:22,Balcony,2,62.00,,refunded
ORD-00050,EV-04,2025-06-20 10:23:17,GA,1,40.00, SUMMER25,completed
ORD-00051,EV-04,2025-06-20 10:26:35,GA,3,40.00,ONAIR10,completed
ORD-00052,EV-02,2025-06-20 10:32:25,GA,1,32.00,STUDENT10,refunded
ORD-00053,EV-06,2025-06-20 10:32:54,Balcony,2,50.00,summer25,completed
ORD-00054,EV-06,2025-06-20 10:33:40,GA,1,38.00,,completed
ORD-00055,EV-05,2025-06-20 10:42:40,Balcony,1,58.00,STUDENT10,completed
ORD-00056,EV-01,2025-06-20 10:48:30,VIP,1,85.00,SUMMER25,completed
ORD-00057,EV-08,2025-06-20 10:53:15,GA,2,45.00,ONAIR10,completed
ORD-00058,EV-04,2025-06-20 10:59:25,GA,3,40.00,SUMMER25,completed
ORD-00059,EV-08,2025-06-20 11:03:40,Balcony,1,62.00,ENCORE,completed
ORD-00060,EV-03,2025-06-20 11:05:27,Balcony,1,44.00,ONAIR10,completed
ORD-00061,EV-07,2025-06-20 11:13:45,GA,1,34.00,STUDENT10,refunded
ORD-00062,EV-08,2025-06-20 11:15:00,GA,3,45.00,,completed
