scan_id,ticket_id,order_id,event_id,gate,scanned_at
SCN-5-00001,ORD-00228-T2,ORD-00228,EV-05,MAIN-2,2025-07-05 19:00:00
SCN-5-00002,ORD-00351-T1,ORD-00351,EV-05,SIDE-A,2025-07-05 19:00:00
SCN-5-00003,ORD-00568-T1,ORD-00568,EV-05,MAIN-2,2025-07-05 19:00:00
SCN-5-00004,ORD-00888-T1,ORD-00888,EV-05,SIDE-A,2025-07-05 19:00:00
SCN-5-00005,ORD-01094-T1,ORD-01094,EV-05,MAIN-1,2025-07-05 19:00:00
SCN-5-00006,ORD-01298-T1,ORD-01298,EV-05,MAIN-1,2025-07-05 19:00:00
SCN-5-00007,ORD-01435-T4,ORD-01435,EV-05,MAIN-1,2025-07-05 19:00:00
SCN-5-00008,ORD-01741-T2,ORD-01741,EV-05,SIDE-A,2025-07-05 19:00:00
SCN-5-00009,ORD-01918-T1,ORD-01918,EV-05,MAIN-1,2025-07-05 19:00:00
SCN-5-00010,ORD-02146-T2,ORD-02146,EV-05,MAIN-2,2025-07-05 19:00:00
SCN-5-00011,ORD-02216-T1,ORD-02216,EV-05,MAIN-1,2025-07-05 19:00:00
SCN-5-00012,ORD-02415-T2,ORD-02415,EV-05,SIDE-A,2025-07-05 19:00:00
SCN-5-00013,ORD-02858-T3,ORD-02858,EV-05,SIDE-A,2025-07-05 19:00:00
SCN-5-00014,ORD-02899-T1,ORD-02899,EV-05,MAIN-1,2025-07-05 19:00:00
SCN-5-00015,ORD-02979-T2,ORD-02979,EV-05,MAIN-2,2025-07-05 19:00:00
SCN-5-00016,ORD-03057-T1,ORD-03057,EV-05,MAIN-2,2025-07-05 19:00:00
SCN-5-00017,ORD-03142-T1,ORD-03142,EV-05,MAIN-1,2025-07-05 19:00:00
SCN-5-00018,ORD-03212-T4,ORD-03212,EV-05,MAIN-1,2025-07-05 19:00:00
SCN-5-00019,ORD-03364-T1,ORD-03364,EV-05,SIDE-A,2025-07-05 19:00:00
SCN-5-00020,ORD-03024-T2,ORD-03024,EV-05,MAIN-2,2025-07-05 19:00:36
SCN-5-00021,ORD-01736-T1,ORD-01736,EV-05,MAIN-2,2025-07-05 19:01:07
SCN-5-00022,ORD-02931-T1,ORD-02931,EV-05,MAIN-1,2025-07-05 19:01:21
SCN-5-00023,ORD-00228-T2,ORD-00228,EV-05,SIDE-A,2025-07-05 19:01:35
SCN-5-00024,ORD-00650-T1,ORD-00650,EV-05,MAIN-2,2025-07-05 19:02:54
SCN-5-00025,ORD-00233-T2,ORD-00233,EV-05,MAIN-2,2025-07-05 19:03:01
SCN-5-00026,ORD-03249-T1,ORD-03249,EV-05,SIDE-A,2025-07-05 19:03:11
SCN-5-00027,ORD-03236-T4,ORD-03236,EV-05,MAIN-2,2025-07-05 19:03:28
SCN-5-00028,ORD-00187-T1,ORD-00187,EV-05,MAIN-1,2025-07-05 19:03:46
SCN-5-00029,ORD-01079-T2,ORD-01079,EV-05,MAIN-1,2025-07-05 19:04:02
SCN-5-00030,ORD-02406-T1,ORD-02406,EV-05,MAIN-2,2025-07-05 19:04:05
SCN-5-00031,ORD-02624-T2,ORD-02624,EV-05,MAIN-2,2025-07-05 19:04:08
SCN-5-00032,ORD-01496-T6,ORD-01496,EV-05,MAIN-1,2025-07-05 19:04:35
SCN-5-00033,ORD-01559-T1,ORD-01559,EV-05,MAIN-2,2025-07-05 19:04:43
SCN-5-00034,ORD-00055-T1,ORD-00055,EV-05,SIDE-A,2025-07-05 19:04:57
SCN-5-00035,ORD-00922-T2,ORD-00922,EV-05,MAIN-1,2025-07-05 19:05:03
SCN-5-00036,ORD-01945-T2,ORD-01945,EV-05,MAIN-1,2025-07-05 19:05:09
SCN-5-00037,ORD-00594-T1,ORD-00594,EV-05,MAIN-1,2025-07-05 19:05:17
SCN-5-00038,ORD-01530-T2,ORD-01530,EV-05,MAIN-1,2025-07-05 19:05:20
SCN-5-00039,ORD-02132-T3,ORD-02132,EV-05,SIDE-A,2025-07-05 19:05:30
SCN-5-00040,ORD-03328-T2,ORD-03328,EV-05,MAIN-2,2025-07-05 19:05:39
